English,Akuapem Twi
That policeman promised to look into the matter.,Saa polisini no hyɛɛ bɔ sɛ ɔbɛhwehwɛ asɛm no mu.
You'll feel better.,Wo ho bɛtɔ wo.
Her silence surprised me.,Dinn a na wayɛ no maa me ho dwiriw me.
We saw your truck on the road.,Yehuu mo lɔre no wɔ kwan so.
I still have a lot to learn.,Meda so ara wɔ nneɛma pii sua.
Take these.,Fa yeinom
My hobby is collecting old coins.,Dwuma a mede gyigye m'ani no ne sika dedaw hwehwɛ.
He can speak and write French.,Otumi ka san kyerɛw Franse kasa.
The committee is made up of fifteen members.,Mpɛsɛnpɛnsɛn mu kuw no mu nnipa yɛ dunum
Waking up is the opposite of going to sleep.,Ɔsɔre ne nna bɔ abira
There are a lot of beautiful places in Japan.,Mmeae a ɛyɛ fɛ pii wɔ Japan.
You will be allowed to go out soon.,Ɛrenkyɛ biara wɔbɛma wo kwan ama woapue.
I'm almost done. Just give me a minute.,"Mereyɛ awie, ma me simma biako pɛ."
I can do it in half the time.,Metumi ayɛ saa bere no fã.
I didn't take part in the conversation.,Manni  nkɔmmɔ no bi.
The man had something under his coat.,Na ɔbarima no wɔ biribi hyɛ n'ataade ase.
The men are wearing short sleeves.,Mmarima no hyehyɛ ntaade a ne nsa yɛ ntiantiaa.
He's not good at remembering names.,Ɔmmɔ mmɔden wɔ dinkae ho.
Asamoah can't see anything with his left eye.,Asamoa ntumi mfa n'aniwa benkum no nhu hwee
Who disagreed?,Hena na ogyee kyim?
The earth is a beautiful planet.,Asase yɛ okyinnsoromma fɛfɛ.
That wasn't my mistake.,Na ɛno nyɛ me mfomso.
The man tried to install his own antenna.,Ɔbarima no bɔɔ mmɔden sɛ ɔde n'ankasa n'afiri dua besi hɔ.
She stirred the soup with a spoon.,"Ɔde atere nuu nkwan no mu,"
We have waited for you the whole day.,Yɛatwɛn wo da mũ no nyinaa.
She turned 16 years old.,Odii mfie 16.
His fake moustache started to peel off on one side.,N'abɔdwesɛ a ɛyɛ awam no fii ase waee wɔ ɔfã biako.
"It's not what you say, but what you do that counts.","Ɛnyɛ nea woka, na mmom nea woyɛ no na ɛho hia."
We're not terrorists.,Yɛnyɛ amumɔyɛfo.
It costs an arm and a leg.,Ne bo yɛ den yiye
Weren't you amused?,So w'ani annye ho?
Everybody was in agreement.,Obiara ne wɔn yɛɛ adwene.
The puppy looked at her with very sad eyes.,Kraman ba no de awerɛhow aniwa hwɛɛ no.
How much more time do you think this will take?,Bere tenten ahe na wususuw sɛ ebegye?
Who is your favorite composer?,Hena na ɔhyehyɛ nnwom a wopɛ n'asɛm pa ara?
"In fact, she's quite unreliable.","Nokwarem no, ɔnyɛ obi a wubetumi de wo ho ato ne so"
The weather is very cold in Istanbul.,Wim yɛ nwunu yiye wɔ Istanbul
He makes it a rule to take a walk every morning.,Ɔhyɛɛ mmara sɛ ɛsɛ sɛ ɔnantew anɔpa biara.
Are you in Boston?,So wowɔ Boston?
I thought we had that under control.,Na misusuw sɛ yɛwɔ ɛso tumi.
I'm going to go on a picnic tomorrow.,Mɛkɔ pekeneke ɔkyena.
I was about to leave my house.,Na merebefi me fie.
Asamoah isn't at the hotel.,Asamoa nni hotɛɛle no mu.
Please call me back in an hour.,"Mesrɛ wo, frɛ me dɔnhwerew biako mu."
What else do you want me to say?,Deɛn bio na wopɛ sɛ meka?
A few minutes is all I ask.,Nea mibisa ara ne simma kakraa bi.
I'm not willing to cook dinner for twenty people.,M'ani nnye ho sɛ mɛyɛ aduan ama nnipa aduonu.
"On cloudy days, you can hear distant sounds better than in clear weather.","Da a nsu muna no, wutumi te nnyigyei wɔ akyirikyiri sen da a wim ate."
I didn't go to Asamoah's funeral.,Mankɔ Asamoa  ayi ase.
Aren't these your books?,So eyinom nyɛ wo nwoma?
The doctor examined the baby.,Oduruyɛfo no hwɛɛ abofra no.
Would you like to see it now?,So wobɛpɛ sɛ wuhu seesei?
I never learned how to use a microwave oven.,Mansua sɛnea yɛde fonoo afiri a yɛde ka aduan hye di dwuma da
I'll be back later.,Mɛsan aba akyiri yi.
Animals act according to their instincts.,Mmoa yɛ ade ma sɛnea wɔn ahonim kyerɛ.
It is said that his father died in a foreign country.,Wɔka sɛ ne papa wui wɔ ɔman foforow so.
Our work never ends.,Yɛn adwuma no to ntwa da.
A tree is known by its fruit.,Dua duaba na wɔde hu dua ko a ɛyɛ.
Asamoah counts on Abena.,Asamoa de n'ani to Abenaa so
His teeth were white.,Na ne se yɛ fitaa.
I have been looking for you.,Na merehwehwɛ wo.
I can stop smoking anytime I want.,"Bere biara a mepɛ no, metumi agyae sigaretenom."
A rat ran across the road.,Akura bi tuu mmirika faa kwan no so.
She's good at bargaining the price down.,Onim nneɛma bo ano di .
Asamoah shut the door and locked it.,Asamoa too pono no mu de safoa san too mu
He emptied his pockets of their contents.,Oyii ne kotoku mu nneɛma nyinaa.
Do you think I'm being unreasonable?,Wususuw sɛ mente afoforo ase?
It's a bit strange to me.,Ɛyɛ me nwonwa kakra.
Why should I hire you?,Deɛn nti na ɛsɛ sɛ mebɔ wo paa?
I'll lend you what little money I have on me.,Mede sika kakraa no a mewɔ bɛfɛm wo..
Asamoah didn't like Abena and she didn't like him.,Na Asamoa mpɛ Abena asɛm ɛna Abena nso mpɛ n'asɛm.
"I'd like some time alone, please.","Mesrɛ wo, mepɛ sɛ nnipa biara bɛwɔ ha."
You know who we are.,Wunim nnipa ko a yɛyɛ.
Asamoah Jackson is considered to be one of the most dangerous men in Australia.,"Asamoa Jackson no, wobu no sɛ mmarima a wɔn ho yɛ hu sen obiara wɔ Australia no mu biako."
Asamoah likes popcorn with lots of butter.,Asamoa pɛ pɔpokɔn a wɔde bɔta ayɛ ho pii
We had a brief discussion about human rights.,Yɛbɔɔ nnipa hokwan ho nkɔmmɔ tiawa.
Asamoah could swim a lot faster when he was young.,"Bere a na Asamoa yɛ abofra no, na otumi guare ntɛmntɛm."
Asamoah is good at this sort of thing.,Ade a ɛte sɛɛ no deɛ Asamoa nim yɛ yiye
Asamoah wants to stay.,Asamoa pɛ sɛ ɔtra hɔ.
"Asamoah could have come yesterday, but he didn't.","Na anka Asamoa betumi aba nnera, nanso wamma."
Do you think this is fun?,Wususuw sɛ eyi yɛ anigyede?
The cottage reminded me of the happy times I had spent with her.,Ɔdan kuruwa no kaee me anigye mmere a me no dii no
She quickly opened the letter.,Obuee krataa no ntɛm ara.
The accident occurred yesterday morning.,Nnera anɔpa na akwanhyia no sii.
What size do you think I take?,Wususuw sɛ me kɛse te sɛn?
They buried her dead husband.,Wɔsiee ne kunu a wawu no.
He is standing on the hill.,Ogu so gyina bepɔw no so.
We clean our classroom after school.,"Sɛ yɛpɔn sukuu a, yɛprapra yɛn sukuu dan mu."
Your ideas are a little antiquated.,Wo nsusuwii yɛ atetekwaa kakra
Is it Japanese food?,So ɛyɛ Japanfo aduan?
I was lost in the crowd.,Nnipadɔm no mu no meyerae.
You are very smart.,W'adwene mu dɔ yiye.
This year the circus has ten elephants.,"Afe yi, nsɛmkwaa agodifo no wɔ asono du"
The room is very cold.,Ɔdan no mu yɛ nwunu yiye.
She went there yesterday.,Ɔkɔɔ hɔ nnera.
He lost his life in a traffic accident.,Ɔhweree ne nkwa wɔ kai akwanhyia bi mu.
She had changed so much that I couldn't recognize her.,Na wasesa koraa ama mintumi nhu no.
This is old news to me.,Eyi yɛ asɛm dedaw ma me.
You can't enter that bookstore with your shirt off.,Wuntumi mfa wo bo so a wayi no nkɔ nwoma sotɔɔ no mu.
The dog next door is dangerous.,Ɔkraman a ɔtoa yɛn so no ho yɛ hu.
Don't give in.,Nyɛ nea wɔpɛ
Let's help him so that he will succeed.,Ma yɛmmoa no sɛnea ɛbɛyɛ a obedi nkonim.
He has two houses.,Ɔwɔ afie abien.
I must finish my homework before dinner.,Ɛsɛ sɛ miwie me sukuu dwumadi ansa na anwumere aduan bere aso.
They will probably handle this well.,Ebia wobedi eyi ho dwuma yiye.
Everyone knows I take pictures.,Obiara nim sɛ mitwa mfonini.
What is the time?,Abɔ sɛn?
My son is too skinny.,Me babarima no ho yɛ fteatea dodo.
Mother is very busy just now.,Seesei me maame nni adagyew koraa.
I need a ladder.,Mepɛ ntweri.
You disappoint me.,Wudi me huammɔ.
Boston is a big city.,Boston yɛ kurow kɛse.
They escaped being punished.,Wɔguanee a wɔantumi antwe wɔn aso.
None of the teachers could solve the problem.,Akyerɛkyerɛfo no mu biara antumi ansɔ ɔhaw no ano.
We have enough food now.,Mprempren yɛwɔ aduan a ɛbɛso yɛn.
Several bridges have been damaged or swept away.,ɛtwene pii asɛe anaa ase atu.
Would Asamoah accept your help if you offered it?,"Sɛ wode wo mmoa ma Asamoa a, obegye?"
Do you have some money?,Wowɔ sika?
You have my permission to leave.,Mama wo kwan sɛ kɔ.
Those were happy times.,Na saa mmere no yɛ anigye mmere.
Deaf-mute people can use sign language to communicate.,Wɔn a wɔn aso asi ne mumfo tumi de nsɛnkyerɛnee kasa di nkitaho.
Asamoah went blind.,Asamoa ani furae .
Asamoah set a trap.,Asamoa sumii afiri.
Please don't insult my intelligence.,"Mesrɛ wo, mmu me nyansa animtiaa."
This kind of cat doesn't have a tail.,Saa kra yi nni dua.
Does Asamoah go to church?,So Asamoa kɔ asɔre?
I understand Asamoah.,Mete Asamoa ase
What do you want me to wear?,Deɛn na wopɛ sɛ mehyɛ?
What did Asamoah give you for Christmas?,Dɛn na Asamoa de maa wo Buronya ?
I've been thinking about the meaning of life.,Medwendwen asetra mu atirimpɔw ho.
"Do you have anything to do? ""No, not really.""","So wowɔ biribi yɛ? "" Dabi, menhyɛda nni hwee yɛ"""
Asamoah became curious.,Na Asamoa pɛ sɛ ohu nea ɛrekɔ so.
Asamoah needs our advice.,Asamoa hia yɛn afotu.
I heard the bell ring.,Metee sɛ wɔrebɔ dɔn no.
He was a wonderful man.,Na ɔyɛ nipa ankasa
"Sometimes we do what we have to do, not what we want to do.","Ɛtɔ mmere bi a yɛyɛ nea ɛwɔ sɛ yɛyɛ, na ɛnyɛ nea yɛpɛ sɛ yɛyɛ."
"Frankly speaking, I don't want to work with him.","Nokwarem no, mempɛ sɛ me ne no bɛyɛ adwuma."
Pardon me for interrupting you.,Mentwa w'ano
Asamoah liked Abena's new hairstyle.,Asamoa ani gyee Abena ti foforow a na wayɛ no ho
Asamoah won't ever be able to forgive Abena for cheating on him.,Asamoa ntumi mfa Abena bɔne mfiri no da sɛ ɔfaa n'akyi.
Asamoah is Abena's father-in-law.,Asamoa yɛ Abena asew barima
Write to him right away.,Kyerɛw krataa kɔ ma no ntɛm ara.
Look that word up in the dictionary.,Hwɛ saa asɛmfua no wɔ nsɛm asekyerɛ nwoma no mu.
You should have flatly refused his request.,Anka ɛnsɛ sɛ wugye n'abisade no tom koraa.
I've been looking for a job a long time.,Mahwehwɛ adwuma akyɛ.
"Asamoah accused Abena of stealing his money, but she denied it.","Asamoa bɔɔ Abena sobo sɛ wawia ne sika, nanso wannye antom."
I woke up three times during the night.,Menyanee mprɛnsa anadwo no.
All the students are present.,Adesuafo no nyinaa wɔ hɔ.
You just got shot.,Wɔbɔɔ wo tuo seesei yi ara.
I hate it when Asamoah does this.,Sɛ Asamoa yɛ saa a m'anni nnye ho.
He has a special regard for her.,Ɔwɔ obu soronko ma no.
Living in the town is quite different from living in the country.,Kurow mu asetra yɛ soronko sen akurase asetra.
I speak Chinese almost every day.,Ɛkame ayɛ sɛ da biara meka China kasa.
You don't have a chance.,Wuntumi nyɛ ho hwee.
My brother failed to pass the examination.,Me nuabarima no antumi antwa nsɔhwɛ no.
We'll work.,Yɛbɛyɛ adwuma.
The police aren't after us anymore.,Polisifo nni yɛn akyi bio.
I'm lucky to have sincere friends.,Me tiri nkwa sɛ mewɔ nnamfo pa sei.
Asamoah apparently believed what Abena said.,Sɛɛ Asamoa gyee nea Abena kae no dii
He tried with all his might to lift the box.,Ɔbɔɔ mmɔden biara sɛ ɔbɛma adaka no so.
I'm not her type.,Menyɛ ne su ne ne ban
You never ask.,Wommisa da.
The treaty was approved.,Wɔgyee apam no too mu sɛ wɔde bedi dwuma
I thought you should see this.,Na misusuw sɛ ɛsɛ sɛ wuhu eyi.
I had no choice but to do what Asamoah told me to do.,"Na biribiara nni hɔ a metumi ayɛ, gye sɛ meyɛ nea Asaa ka kyerɛɛ me sɛ menyɛ no."
The students used a magnet in science class.,Adesuafo no de twebo dii dwuma wɔ abɔde mu nyansa pɛ adesua no mu.
Where do I start?,Ɛhe na mimfi ase?
I'm ready.,Mayɛ krado.
She cannot be over thirty.,Ontumi nni mmoro mfe aduasa.
He asked me who that man was.,Obisaa me onipa ko a saa papa no yɛ.
You should relax a little.,Ɛsɛ sɛ wugye w'ahome kakra.
There's going to be a three-mile race tomorrow.,Wɔbɛyɛ mile abiesa mirikatu dwumadi kyena
Asamoah got up.,Asamoa sɔre gyinae.
It was in 1939 that the Second World War broke out.,Ɛyɛ afe 1939 mu na Wiase Ko a Ɛto so Abien no fii ase.
How old is your son?,Wo babarima no adi mfe sɛn?
Please come back home.,"Yɛsrɛ wo, san bra fie."
"The President desires peace, doesn't he?","Ɔmampanyin no pɛ asomdwoe, ɛnte saa?"
I heard about your problems with Asamoah.,Metee wo haw ahorow a wo ne Asamoa wɔ no ho asɛm
Excuse me for opening your letter by mistake.,Fakyɛ me sɛ me de mfomso buee wo krataa no so
It's nice.,Ɛyɛ dɛ.
He decided to write in his diary every day.,Ɔyɛɛ n'adwene sɛ ɔbɛkyerɛw n'abrabɔ mu nsɛm nwoma no mu da biara
Is Asamoah interested?,So Asamoa ani wom?
He was busy when I called him up.,Na onni adagyew koraa bere a mefrɛɛ no no.
She always writes down every word her teacher says.,Ɔkyerɛw asɛm biara a ne kyerɛkyerɛfo ka to hɔ abere nyinaa.
I've been married three times.,M'aware mprɛnsa.
Let's go in.,Momma yɛnwura mu
They gave a series of concerts.,Wɔyɛɛ agoru ntoatoaso ahorow.
Asamoah said he wondered if Abena and I'd be able to do that by ourselves.,Asamoa kae sɛ osusuw ho sɛ ebia me ne Abena nkutoo betumi ayɛ saa anaa.
I can't let them catch you.,Merentumi mma wɔnkye wo.
The news confirmed my suspicions.,Asɛm no sii adwene a ɛnteɛ a na mewɔ no so dua.
She needed someone who would understand her.,Na ohia obi a ɔbɛte n'ase.
I couldn't get him to stop smoking.,Mantumi amma wannyae sigaretenom.
"If I were you, I wouldn't do it.","Sɛ mene wo a, anka menyɛ."
She is blackmailing him.,ɔde ehu rehyɛ ne mu agye biribi afiri ne hɔ
She asked me to stay till her mother came home.,Ɔka kyerɛɛ me sɛ mentra hɔ nkosi sɛ ne maame bɛba fie.
I'm your brother.,Meyɛ wo nuabarima.
I will be in London by this time tomorrow.,"Ebedu saa bere yi kyena no, na mewɔ London."
My business is picking up again.,M'adwuma no rekɔ so bio.
I don't understand modern art.,Mente abɛɛfo adwinni ase.
Asamoah enlisted.,Asamoa kɔ kaa asrafo nteteɛ no ho  .
It's really windy.,Mframa rebɔ pa ara
The foreign minister attended the talks.,Ɔsoafo a ɔhwɛ amannɔne nsɛm so kɔɔ nkitahodi dwumadi ahorow  no ase.
"I didn't want to go, but I needed to.","Na mempɛ sɛ mekɔ, nanso na ɛsɛ sɛ mekɔ."
I didn't think of that.,Mansusuw ho saa.
She tried to persuade him to go with her.,Ɔbɔɔ mmɔden sɛ ɔbɛdɛfɛdɛfɛ no ama ɔne no kɔ.
What's your favorite brand of soap?,Dɛn ne samina a w'ani gye ho pa ara?
Wipe your hands with this towel.,Fa towuro yi pepa wo nsa.
Where do you live now?,Ɛhe na wote mprempren yi?
Could you tell me which way I should go?,Wubetumi aka ɔkwan a ɛsɛ sɛ mefa so no akyerɛ me?
His bad leg prevented him from winning the race.,Ne nan bɔne no amma wanni nkunim wɔ mmirikatu no mu.
I agree with you to a degree.,Me ne wo yɛ adwene kakra.
You have to obey your parents.,Ɛsɛ sɛ wutie w'awofo asɛm.
She was too short to see over the fence.,"Tiatia pa ara a na ɔyɛ nti, na ontumi nhu ban no soro"
I've got something else I want you to do.,Mewɔ biribi foforow a mepɛ sɛ woyɛ.
I noticed that you were staring at me.,Mihuu sɛ worehwɛ me.
Where are you off to?,Ɛhe na worekɔ?
I don't really like the stores there.,M'ani nhyɛda nnye sotɔɔ a ɛwɔ hɔ no ho.
She wanted to get a divorce.,Na ɔpɛ sɛ ogyae aware.
Asamoah can be trusted.,Yebetumi agye Asamoa adi .
I went to see his sister last week.,"Dapɛn a etwaam no, mekɔɔ ne nuabea nkyɛn."
It is mine.,Ɛyɛ me dea.
Asamoah heard the door open.,Asamoa tee sɛ pono no abue
"If you want more details than that, you'll have to ask my boss.","Sɛ wopɛ ho nsɛm pii sen saa a, ɛsɛ sɛ wubisa m'adwumawura."
I thought we were going to win.,Na medwenw sɛ wubedi nkunim.
They are generous with their money.,Wofi ayamye mu de wɔn sika boa.
Were you the one who rung the bell?,So wo na wobɔɔ dɔn no?
What's your favorite music group?,Nnwom kuw bɛn na w'ani gye ho pa ara?
I can't believe Asamoah ate the whole thing.,Mintumi nnye nni sɛ Asamoa dii ade mũ no nyinaa.
Which do you recommend?,Emu nea ɛwɔ he na wokamfo sɛ yɛmfa nni dwuma?
I'll act on your advice.,Mede w'afotu bɛyɛ adwuma.
What should I eat?,Dɛn na ɛsɛ sɛ midi?
The king once lived in that palace.,"Bere bi, na ɔhene no te ahemfie hɔ."
This is our home.,Eyi ne yɛn fie.
He came to my house on the pretext of seeing me.,Ɔbaa me fie a na n'adwene ne sɛ obehu me.
The story of a great flood is very common in world mythology.,Nsuyiri kɛse bi ho asɛm abu so wɔ wiase anansesɛm mu nyinaa.
My cell phone doesn't work.,Me fon nyɛ adwuma.
Asamoah decided it was time to go to sleep.,Asamoa yɛɛ n'adwene sɛ bere aso sɛ ɔda no
I'm trying to concentrate.,Merebɔ mmɔden sɛ mɛma m'adwene asi so.
Asamoah doesn't have any cash on hand.,Asamoa nni sika biara wɔ ne ho
We make sake from rice.,yɛde ɛmo na ɛyɛ ɛmo nsa.
This article is misleading.,Kyerɛwsɛm a ɛwɔ dawurubɔ krataa yi mu yɛ nnaadaa.
This morning I missed the train I usually take.,"Saa anɔpa yi, keteke a metaa fa no tu gyaa me."
Step on it!,Tia so!
Do you want to tell me who they are?,So wopɛ sɛ woka nnipa ko a wɔyɛ kyerɛ me?
The dog likes that kind of food.,ɔkraman no pɛ aduan a ɛte saa.
Is the bank open?,So sikakorabea no abue?
It's a very interesting brochure.,Ɛyɛ brokya a ɛyɛ anigye yiye.
That's hogwash.,ɛyɛ nkwaseasɛm .
It was Asamoah who first suggested that this might be the cause.,ɛyɛ Asamoa na odii kan susuwii sɛ ebia eyi na ɛde ba.
"With friends like that, who needs enemies?","Wɔwɔ nnamfo a wɔte saa a, wunhia atamfo."
The train leaves in 5 minutes.,Keteke no betu sima 5 mu
Asamoah told Abena that he thought it wouldn't be good if she went there by herself.,"Asamoa ka kyerɛɛ Abena sɛ osusuw sɛ sɛ ɔno nkutoo kɔ hɔ a, ɛrenyɛ papa."
Asamoah explained the rules.,Asamoa kyerɛkyerɛɛ mmara no mu no.
I heard that Asamoah is going to get married soon.,Metee sɛ Asamoa bɛware nnansa yi ara.
Asamoah won't answer.,Asamoa remma ho mmuae.
Asamoah didn't expect that answer.,Asamoa anhwɛ sɛ saa mmuae no na ɛbɛba
Asamoah will never forget all the time Abena spent with him.,Asamoa werɛ remfi bere a Abena ne no trae no da.
Bees make honey.,Mmɔborɔ yɛ ɛwo.
Can he speak French?,So obetumi aka Franse kasa?
Can you guess her age?,So wubetumi akyerɛ mfe a wadi ?
Asamoah doesn't go to school by bus.,Asamoa mfa bɔɔso nkɔ sukuu.
I begged her not to go.,Mesrɛɛ no sɛ mma ɔnkɔ.
Asamoah needs to face the facts.,Ɛsɛ sɛ Asamoa gye nokwasɛm no tom.
He does not watch TV at all.,Ɔnhwɛ TV koraa.
Asamoah pretended not to understand what Abena was saying.,Asamoa yɛɛ ne ho sɛnea ɔnte nea Abena reka no ase.
That man standing over there is my father.,Saa papa no a ogyina hɔ no yɛ me papa
There were almost no cars in the parking lot.,Ɛkame ayɛ sɛ na kai biara nni beae a wɔde kai sisi no.
"He's not rich, but he's happy.","Ɔnyɛ ɔdefo, nanso n'ani gye."
We had a rough flight because of turbulence.,Wimhyɛn no wosow wɔ wim no nti na akwantu no mu yɛ den
He was accused of squandering public funds.,Wɔbɔɔ no sobo sɛ ɔsɛe ɔman sika.
Asamoah trusts Abena.,Asamoa  gye  Abena di
Asamoah and Abena are at home today.,"Ɛnnɛ, Asamoa ne Abena wɔ fie."
Another patient has died.,Ɔyarefo foforow awu.
There was a flower bed in the middle of the garden.,Ná nhwiren mpa bi si turo no mfinimfini.
It is bad manners to eat with a knife.,Ɛyɛ subammɔne sɛ wode sekan bedidi.
Can we talk?,So yebetumi akasa?
Don't bother Asamoah while he's reading.,"Asamoa rekenkan ade a, nhaw no"
My vision is getting worse these days.,M'aniwa adehwɛ gu so ara resɛe nansa yi
Go to sleep now.,Kɔda seesei yi ara
This is as large as that.,Eyi sõ saa ara.
I've already drank three cups of coffee.,Manom kɔfe kuruwa abiesa dedaw.
That dog doesn't bite.,Saa ɔkraman no nka
You're over-thinking this.,Woredwene eyi ho aboro so.
Find out what happened.,Hu nea esii.
Asamoah thinks his leg is broken.,Asamoa susuw sɛ ne nan abu no.
You two are ridiculously silly.,Mo baanu nyinaa ho yɛ anika yiye.
The baby is looking for its mother.,Abofra no rehwehwɛ ne maame.
"Judging from his accent, he is from Kansai.",Wohwɛ ne kasa mu a ofi Kansai
The church is in the middle of the village.,Asɔre no wɔ akuraa no mfinimfini.
The frame itself is worth more than the picture.,Ahwehwɛniwa no sombo sen mfoni so
"He's a year and five months old, but he can't walk yet.","Wadi afe ne asram anum, nanso ontumi nnantewee."
A crowd gathered on this street.,Nnipakuw bi beguu saa kwan yi so
I can hear you loud and clear.,Mete wo nne yiye.
Copper and silver are both metals.,Kɔpa ne dwetɛ nyinaa yɛ nnade.
Would you like to come fishing with us?,So wobɛpɛ sɛ wo ne yɛn kɔ mpataayi?
Abena has hair down to her waist.,Abena ti nwi si ne sisi
Science begins when you ask why and how.,Abɔde mu nyansapɛ fi ase bere a wubisa nea enti a ɛte saa ne ɔkwan a wɔfa so yɛ saa no.
He is acquainted with the modern history of France.,Onim nnɛyi abakɔsɛm a ɛfa France ho no.
Asamoah was sentenced to death.,Wɔhyɛɛ sɛ wɔnkum Asamoa
I need to know what happened.,Ehia sɛ mihu nea esii.
Tell me why you think you can't trust me.,Ka nea enti a wususuw sɛ wuntumi nnye me nni
She is always losing her handkerchief.,Bere biara ɔyera ne hankete
It is raining all the time.,Bere biara osu tɔ.
Asamoah forgave Abena.,Asamoa de Abena bɔne kyɛɛ no.
Even a child can do such a thing.,Abofra mpo betumi ayɛ biribi a ɛte saa.
Asamoah is a very careful driver.,Asamoa yɛ drɔba ni a ɔde abotare ka kai yiye
What is over there?,Dɛn na ɛwɔ hɔ?
He can't sing.,Ontumi nto dwom.
Asamoah seems to be as fit as a fiddle.,Asɛ Asamoa ho yɛ den yiye.
I know something Asamoah doesn't know.,Minim biribi a Asamoa nnim
There is some milk left in the fridge.,Meleke kakra wɔ asukɔkyea adaka no mu
I know I shouldn't care what Asamoah thinks.,Minim sɛ ɛnsɛ sɛ mema nea Asamoa dwene no haw me.
I really wasn't expecting that from you.,Mansusuw sɛ wobɛyɛ saa.
Go on without me.,Yɛgya me
This is today's newspaper.,Eyi yɛ ɛnnɛ dawurubɔ krataa
Stop torturing yourself.,Mmu wo ho fɔ.
He didn't come after all.,Eyi akyi nyinaa wamma.
The chair is made of wood.,Wɔde nnua na ayɛ agua no.
Asamoah did it for free.,Asamoa yɛe a wannye sika
We don't want to pressure you.,Yɛmpɛ sɛ yɛbɛhyɛ wo.
Those who are present are all Japanese.,Wɔn a wɔwɔ hɔ nyinaa yɛ Japanfo.
The boy got in through the window.,Abarimaa no faa mfɛnsere no mu na ewuraa mu.
You have a regular pulse.,W'ahome no si so pɛpɛɛpɛ
I don't need Asamoah's help.,Menhia Asamoa mmoa
What did Asamoah think Abena would say?,Deɛn na Asamoa dwenee sɛ Abena bɛka?
He went so far as to say that I was coward.,Ɔkae ara kaa sɛ meyɛ ohufo.
"Asamoah will be able to do that, too.",Asamoa betumi ayɛ saa nso.
I can't tell her now. It's not that simple anymore.,"Mintumi nka nkyerɛ no seesei, ɛnyɛ mmerɛw saa bio."
This word comes from Greek.,Saa asɛmfua yi fi Greek kasa mu.
I bought the girl a sweater.,Metɔɔ ataade a wɔde ko awɔw maa abeawa no.
Asamoah is like one of the family.,Asamoa ayɛ sɛ abusua
I'm single.,Midi sigya.
They planned their first vacation.,Wɔyɛɛ wɔn akwamma a edi kan ho nhyehyɛe.
My brother fell off a tree and broke his leg.,Me nuabarima no fii dua bi so tɔɔ fam bubuu ne nan mu.
Asamoah stood there for a while.,Asamoa gyinaa hɔ kakra.
Abena is a materialist.,Abena yɛ obi a ɔpɛ ahodeɛ
My mother left me a message.,Me maame gyaa me nkra
Blend the red paint with the blue paint.,Fa pente kɔkɔɔ ne bruu no fra
He will be back in a couple of days.,Ɔbɛsan aba bio wɔ nna kakraa bi akyi.
June is the month when we have a lot of rain.,Ayɛwohomumɔ yɛ ɔsram a osu tɔ kɛse wom.
He seemed surprised by my ignorance.,Asɛ nimdeɛ a na minni no maa ne ho dwiriw no.
This book is of great use.,Wɔde nwoma yi rdi dwuma kɛse.
I'm a detective.,Meyɛ obi a ɔhwehwɛ nsɛm mu.
He knows nothing about the plan.,Onnim nhyehyɛe no ho hwee.
There are holes in the roof.,Wɔayɛ ntokuru wɔ dan no atifi.
Don't worry. He knows what he's doing.,"Nhaw wo ho, onim nea ɔreyɛ."
Why does he still talk about the army?,Dɛn nti na ɔda so ara ka asraafo no ho asɛm?
I can't put up with the heat any longer.,Mintumi nnyina ɔhyew no ano bio.
Why is your eye red?,Dɛn nti na w'aniwa yɛ kɔkɔɔ?
Do you often listen to audiobooks?,So wotaa tie nsɛm a wɔakyere agu kasɛte so?
The boat capsized.,Nsu faa kodoɔ no
There are a great many forest fires in America.,Ogya kɛse bi atɔ kwae pii mu wɔ Amerika.
She explained to him why she didn't like his parents.,Ɔkyerɛkyerɛɛs nea enti a ɔmpɛ n'awofo asɛm no mu kyerɛɛ no.
I wish there was more I could've done.,Me yam a anka matumi ayɛ pii.
No one said anything.,Obiara anka hwee.
Let me tell you something about Boston.,Ma menka Boston ho asɛm kakra nkyerɛ wo.
The president was greeted by the queen on arrival at the palace.,ɔhemmaa no maa ɔmanpanyin no akwaaba bere a obeduu ahemfie hɔ no
Mass production lowers the cost of certain goods.,Nneɛma a wɔyɛ no pii tew nneɛma bi bo so.
Asamoah has a low-pitched voice.,Asamoa nne wɔ fam
The situation is very complicated.,Tebea no mu yɛ den yiye.
Are you just going to stand there all day?,So wubegyina hɔ saa ara da mũ no nyinaa?
Asamoah gave blood.,Asamoa maa mogya
Who's your favorite Disney character?,Hena na wopɛ n'asɛm pa ara wɔ Disney sinihwɛ mu?
What book did you buy?,Nwoma bɛn na wotɔe?
I don't have to clean my room.,Enhia sɛ misiesie me dan mu.
I'm not at all tired.,Me mmerɛe koraa
"Asamoah is honest and expects other people to be honest, too.","Sɛnea Asamoakware no, saa ara na ɔhwɛ kwan sɛ nnipa foforo nso bedi nokware."
I don't meet him so often.,Mentaa nhyia no saa.
This must be done.,Ɛsɛ sɛ yɛyɛ eyi.
A bird can fly.,Anomaa tumi tu.
Asamoah never thought Abena would ever actually graduate from college.,Asamoa anwene da sɛ Abena  betumi awie kɔlege da.
I'll see you next month.,Mehu wo ɔsram a ɛtoa so no
